date,anio,mes,dia,estacion,clase,CO,NO2,O3,PM10,PM2.5,temporada
2023-01-04 08:00:00,2023,1,4,SUROESTE2,0,1.655,32.7,6.0,96.5,22.5,invierno
2023-01-05 07:00:00,2023,1,5,CENTRO,0,1.2,36.2,5.0,84.0,,invierno
2023-01-05 07:00:00,2023,1,5,NORESTE3,0,1.0823333333333334,39.233333333333334,5.733333333333333,82.66666666666667,29.5,invierno
2023-01-05 07:00:00,2023,1,5,NOROESTE3,0,1.486666666666667,33.766666666666666,2.6666666666666665,130.0,25.79,invierno
2023-01-05 07:00:00,2023,1,5,NORTE2,0,1.2,38.0,8.0,109.5,21.335,invierno
2023-01-05 07:00:00,2023,1,5,SUR,0,1.73,61.2,3.6666666666666665,97.75,21.003333333333334,invierno
2023-01-05 07:00:00,2023,1,5,SUROESTE2,0,1.25,29.700000000000003,16.0,70.5,26.0,invierno
2023-01-05 08:00:00,2023,1,5,CENTRO,0,1.42,39.7,4.0,107.0,,invierno
2023-01-05 08:00:00,2023,1,5,NORESTE3,0,1.5063333333333333,39.199999999999996,5.766666666666667,117.66666666666667,33.5,invierno
2023-01-05 08:00:00,2023,1,5,NOROESTE3,0,1.6366666666666667,34.36666666666667,3.5,104.0,21.68,invierno
2023-01-05 08:00:00,2023,1,5,NORTE2,0,1.175,38.15,8.0,116.5,21.07,invierno
2023-01-05 08:00:00,2023,1,5,SUR,0,2.115,54.95,5.0,104.25,18.483333333333334,invierno
2023-01-05 08:00:00,2023,1,5,SUROESTE2,0,1.845,39.65,7.0,92.0,41.5,invierno
2023-01-06 07:00:00,2023,1,6,CENTRO,0,1.28,19.9,8.0,73.0,31.0,invierno
2023-01-06 07:00:00,2023,1,6,NORESTE3,0,0.99,14.700000000000001,12.4,42.666666666666664,22.0,invierno
2023-01-06 07:00:00,2023,1,6,NOROESTE3,0,1.2766666666666666,20.566666666666666,5.666666666666667,75.33333333333333,46.35,invierno
2023-01-06 07:00:00,2023,1,6,NORTE2,0,0.775,14.6,16.0,72.0,24.535,invierno
2023-01-06 07:00:00,2023,1,6,SUR,0,0.9049999999999999,10.425,15.0,51.5,18.08,invierno
2023-01-06 07:00:00,2023,1,6,SUROESTE2,0,1.1749999999999998,25.35,6.5,66.5,30.5,invierno
2023-01-06 08:00:00,2023,1,6,CENTRO,0,1.5,32.8,4.0,99.0,32.0,invierno
2023-01-06 08:00:00,2023,1,6,NORESTE3,0,0.754,19.933333333333334,7.8999999999999995,47.666666666666664,21.0,invierno
2023-01-06 08:00:00,2023,1,6,NOROESTE3,0,1.3366666666666667,21.133333333333333,6.666666666666667,89.0,50.055,invierno
2023-01-06 08:00:00,2023,1,6,NORTE2,0,0.825,16.75,16.0,70.0,23.41,invierno
2023-01-06 08:00:00,2023,1,6,SUR,0,1.1475,17.325,10.25,49.75,19.925,invierno
2023-01-06 08:00:00,2023,1,6,SUROESTE2,0,1.49,28.25,4.5,89.0,41.5,invierno
2023-01-07 07:00:00,2023,1,7,CENTRO,0,1.32,23.3,,114.0,52.0,invierno
2023-01-07 07:00:00,2023,1,7,NORESTE3,0,0.8033333333333333,19.666666666666668,9.0,81.66666666666667,32.0,invierno
2023-01-07 07:00:00,2023,1,7,NOROESTE3,0,1.5466666666666669,25.433333333333334,6.0,71.66666666666667,25.36,invierno
2023-01-07 07:00:00,2023,1,7,NORTE2,0,1.04,22.65,6.5,84.48,31.005000000000003,invierno
2023-01-07 07:00:00,2023,1,7,SUR,0,1.4075,32.075,6.25,62.5,19.54,invierno
2023-01-07 07:00:00,2023,1,7,SUROESTE2,0,1.46,28.549999999999997,8.0,83.5,27.0,invierno
2023-01-07 08:00:00,2023,1,7,CENTRO,0,1.46,25.1,,104.0,53.0,invierno
2023-01-07 08:00:00,2023,1,7,NORESTE3,0,0.9773333333333333,23.166666666666668,6.5,77.0,31.5,invierno
2023-01-07 08:00:00,2023,1,7,NOROESTE3,0,1.5766666666666669,25.566666666666666,4.666666666666667,68.0,25.71,invierno
2023-01-07 08:00:00,2023,1,7,NORTE2,0,1.265,24.3,5.5,93.445,31.955,invierno
2023-01-07 08:00:00,2023,1,7,SUR,0,1.69,38.75,4.75,70.25,25.345,invierno
2023-01-07 08:00:00,2023,1,7,SUROESTE2,0,1.685,29.9,5.0,87.0,32.0,invierno
2023-01-08 07:00:00,2023,1,8,CENTRO,0,1.23,11.2,19.0,49.0,,invierno
2023-01-08 07:00:00,2023,1,8,NORESTE3,0,0.6226666666666666,6.066666666666666,23.766666666666666,40.666666666666664,16.5,invierno
2023-01-08 07:00:00,2023,1,8,NOROESTE3,0,1.4233333333333331,19.333333333333332,5.0,65.66666666666667,31.25,invierno
2023-01-08 07:00:00,2023,1,8,NORTE2,0,0.82,18.0,14.5,36.1,13.57,invierno
2023-01-08 07:00:00,2023,1,8,SUR,0,1.155,13.166666666666666,22.0,45.75,15.766666666666666,invierno
2023-01-08 07:00:00,2023,1,8,SUROESTE2,0,1.1600000000000001,17.05,11.5,51.0,24.0,invierno
2023-01-08 08:00:00,2023,1,8,CENTRO,0,1.2,17.1,14.0,43.0,,invierno
2023-01-08 08:00:00,2023,1,8,NORESTE3,0,0.626,6.966666666666666,23.366666666666664,53.0,12.5,invierno
2023-01-08 08:00:00,2023,1,8,NOROESTE3,0,1.4600000000000002,21.3,3.5,65.0,30.435000000000002,invierno
