date,estacion,franja_horaria,clase,CO,NO2,O3,PM10,PM2.5
2023-01-05,NOROESTE3,fuera_pico_10_12,0,1.3833333333333333,31.516666666666666,17.166666666666668,93.33333333333334,18.965
2023-01-05,NOROESTE3,pico_7_9,0,1.561666666666667,34.06666666666666,3.083333333333333,117.0,23.735
2023-01-05,NORTE2,fuera_pico_10_12,0,1.62,54.325,13.75,185.5,36.727500000000006
2023-01-05,NORTE2,pico_7_9,0,1.1875,38.075,8.0,113.0,21.2025
2023-01-05,SUR,fuera_pico_10_12,0,1.7662499999999999,45.6125,14.375,154.625,29.814999999999998
2023-01-05,SUR,pico_7_9,0,1.9225,58.075,4.333333333333333,101.0,19.743333333333332
2023-01-05,SUROESTE2,fuera_pico_10_12,0,1.2825,32.5,19.25,139.75,29.25
2023-01-05,SUROESTE2,pico_7_9,0,1.5474999999999999,34.675,11.5,81.25,33.75
2023-01-06,CENTRO,fuera_pico_10_12,0,1.44,28.25,12.0,163.5,41.5
2023-01-06,CENTRO,pico_7_9,0,1.3900000000000001,26.349999999999998,6.0,86.0,31.5
2023-01-06,NORESTE3,fuera_pico_10_12,0,0.8836666666666666,20.066666666666666,14.033333333333331,74.16666666666666,35.0
2023-01-06,NORESTE3,pico_7_9,0,0.872,17.316666666666666,10.149999999999999,45.16666666666666,21.5
2023-01-06,NOROESTE3,fuera_pico_10_12,0,1.2599999999999998,17.65,15.833333333333332,113.83333333333331,58.175
2023-01-06,NOROESTE3,pico_7_9,0,1.3066666666666666,20.849999999999998,6.166666666666667,82.16666666666666,48.2025
2023-01-06,NORTE2,fuera_pico_10_12,0,1.1225,23.049999999999997,14.25,87.25,23.9125
2023-01-06,NORTE2,pico_7_9,0,0.8,15.675,16.0,71.0,23.9725
2023-01-06,SUR,fuera_pico_10_12,0,1.1825,16.1875,17.5,85.75,27.54
2023-01-06,SUR,pico_7_9,0,1.02625,13.875,12.625,50.625,19.002499999999998
2023-01-06,SUROESTE2,fuera_pico_10_12,0,1.2925,28.075000000000003,16.25,158.5,61.25
2023-01-06,SUROESTE2,pico_7_9,0,1.3325,26.8,5.5,77.75,36.0
2023-01-07,CENTRO,fuera_pico_10_12,0,2.0,46.65,10.0,141.5,48.0
2023-01-07,CENTRO,pico_7_9,0,1.3900000000000001,24.200000000000003,3.5,109.0,52.5
2023-01-07,NORESTE3,fuera_pico_10_12,0,1.1075,18.85,19.75,117.0,38.25
2023-01-07,NORESTE3,pico_7_9,0,0.8903333333333332,21.416666666666668,7.75,79.33333333333334,31.75
2023-01-07,NOROESTE3,fuera_pico_10_12,0,1.6266666666666665,25.483333333333334,15.666666666666664,117.0,27.939999999999998
2023-01-07,NOROESTE3,pico_7_9,0,1.561666666666667,25.5,5.333333333333334,69.83333333333334,25.535
2023-01-07,NORTE2,fuera_pico_10_12,0,1.3375,30.0,15.5,103.355,30.925000000000004
2023-01-07,NORTE2,pico_7_9,0,1.1524999999999999,23.475,6.0,88.9625,31.48
2023-01-07,SUR,fuera_pico_10_12,0,1.6099999999999999,25.975,14.0,120.0,39.175
2023-01-07,SUR,pico_7_9,0,1.54875,35.4125,5.5,66.375,22.4425
2023-01-07,SUROESTE2,fuera_pico_10_12,0,1.7625,43.0,13.5,126.0,33.75
2023-01-07,SUROESTE2,pico_7_9,0,1.5725,29.225,6.5,85.25,29.5
2023-01-08,CENTRO,fuera_pico_10_12,0,1.2125,19.4,12.0,63.75,19.63098447444574
2023-01-08,CENTRO,pico_7_9,0,1.2149999999999999,14.15,16.5,46.0,28.91654366007574
2023-01-08,NORESTE3,fuera_pico_10_12,0,0.6381666666666667,8.316666666666666,22.23333333333333,42.66666666666667,9.0
2023-01-08,NORESTE3,pico_7_9,0,0.6243333333333333,6.516666666666666,23.566666666666663,46.83333333333333,14.5
2023-01-08,NOROESTE3,fuera_pico_10_12,0,1.485,17.616666666666667,14.5,68.0,16.025
2023-01-08,NOROESTE3,pico_7_9,0,1.4416666666666667,20.316666666666663,4.25,65.33333333333334,30.8425
2023-01-08,NORTE2,fuera_pico_10_12,0,0.7350000000000001,15.2,19.5,48.7375,11.1975
2023-01-08,NORTE2,pico_7_9,0,0.855,20.625,12.5,38.995000000000005,15.6525
2023-01-08,SUR,fuera_pico_10_12,0,1.1800000000000002,13.649999999999999,21.125,46.875,10.738333333333333
2023-01-08,SUR,pico_7_9,0,1.1600000000000001,13.133333333333333,21.5,48.5,15.333333333333332
