clase,media,mediana,moda,minimo,maximo,rango,varianza,desv_std,Q1,Q2,Q3,IQR,n
0,24.569522433579415,16.170833333333334,9.5,0.1,583.5,583.4,828.405271603029,28.782030359288918,6.75,16.170833333333334,31.83333333333333,25.08333333333333,27470.0
1,27.461815720582056,19.2,10.5,0.115,599.5,599.385,1001.9000407776574,31.65280462735739,7.125,19.2,34.892500000000005,27.767500000000005,27250.0
