,Estadístico General
media,26.009854891014033
mediana,17.648125
moda,10.5
minimo,0.1
maximo,599.5
rango,599.4
varianza,916.8785046891123
desv_std,30.280001728684105
Q1,6.949999999999999
Q2,17.648125
Q3,33.333333333333336
IQR,26.383333333333336
n,54720.0
