franja_horaria,media,mediana,moda,minimo,maximo,rango,varianza,desv_std,Q1,Q2,Q3,IQR,n
pico_7_9,23.47442598050329,14.1,6.0,0.0,1000.0,1000.0,906.3279250974763,30.10528068458217,4.9,14.1,29.94,25.04,149974.0
ref_10_12,29.747128677827575,20.0,20.0,0.0,773.0,773.0,1331.202612879447,36.48564941013723,6.2475000000000005,20.0,39.0,32.7525,151720.0
